Radicado,Ponente,Autoridad orden nacional,Acto demandado,Contenido acto
11001-03-15-2020-01064-00,Rocío Araújo Oñate,"Ministerio de Ciencia, 
Tecnología e Innovación",Circular Interna 15 del 18 de marzo de 2020,"Circular interna 15 del 18 de marzo de 2020 suscrita porla secretaria general del ministerio de ciencia,
tecnología e innovación, para el equipo atención al
ciudadano. asunto: protocolo de ingreso de visitantes
y colaboradores al ministerio de ciencia, tecnología e
innovación, a través de la recepción del segundo piso,
con el fin de disminuir el riesgo de propagación de
covid-19"
11001-03-15-2020-01066-00,Gabriel Valbuena Hernández,"Ministerio de Ciencia, 
Tecnología e Innovación",Resolución 0242 del 19 de marzo de 2020,"Resolución 0242 del 19 de marzo de 2020 proferida por el ministerio de ciencia, tecnología e innovación, ""por la
cual se delegan unas funciones y se dictan otras
disposiciones"
11001-03-15-2020-01070-00,Ramiro Pazos Guerrero,Ministerio de Educación Nacional,Directiva 03 del 20 de marzo de 2020,"Directiva 03 del 20 de marzo de 2020 suscrita por la ministra de educación nacional, para los
gobernadores, alcaldes y secretarios de educación de
entidades territoriales certificadas en educación y rectores de establecimientos educativos privados.
asunto: orientaciones para el manejo de la emergencia
por covid19 por parte de los establecimientos
educativos privados"
11001-03-15-2020-01073-00,Lucy Jeannette Bermúdez Bermúdez,Ministerio de Educación Nacional,Directiva 6 del 25 de marzo de 2020,"directiva 6 del 25 de marzo de 2020 suscrita por la de educación nacional, para los
gobernadores, alcaldes, secretarios de educación de
entidades territoriales certificadas en educación e instituciones oferentes de educación para el trabajo y el desarrollo humano. asunto: uso de tecnologías en el desarrollo de programas de educación para el
trabajo y el desarrollo humano"
11001-03-15-2020-01076-00,Jaime Enrique Rodríguez Navas,Ministerio de Educación Nacional,Resolución 004751 del 24 de marzo de 2020,"Resolución 004751 del 24 de marzo de 2020 proferida por el ministerio de educación nacional, por medio del cual se suspenden términos administrativos en los tramites de convalidación de títulos de educación superior otorgados en el exterior"
11001-03-15-2020-01095-00,Oswaldo Giraldo López,Ministerio de Transporte,Resolución 0000624 del 26 de marzo de 2020,"Control inmediato de legalidad de la resolución 0000624 del 26 de marzo de 2020 proferida por la ministra de transporte, ""por la cual se adopta el reglamento interno del centro de logística y transporte"
11001-03-15-2020-01096-00,Roberto Augusto Serrato Valdés,Ministerio del Interior,Resolución 0363 del 19 de marzo de 2020,"control inmediato de legalidad de la resolución 0363 del 19 de marzo de 2020 proferida por la ministra del interior, ""por la cual se establecen con carácter temporal y extraordinario el horario laboral para los servidores publico del ministerio del interior, y se dictan otras disposiciones"
11001-03-15-2020-01097-00,Marta Nubia Velásquez Rico (E2),Servicio nacional de aprendizaje SENA,Resolución 1-0385  del 25  marzo de 2020,"control inmediato de legalidad de la resolución 1-0385 del 25 de marzo de 2020 proferida por el director general del servicio nacional de aprendizaje-SENA, ""por medio de la cual se prorrogan la suspensión de términos en las actuaciones administrativas, procesales y disciplinarias en segunda instancia del servicio nacional de aprendizaje - SENA, como consecuencia de la situación epidemiológica causada por el virus covid-19 y se da continuidad a los términos y actuaciones en materia contractual"
11001-03-15-2020-01101-00,María Adriana Marín,Ministerio del Interior,Circular externa cir2020-22dmi-1000 del 16 de marzo de 2020,"Control inmediato de legalidad de la circular externa cir2020-22dmi-1000 del 16 de marzo de 2020 proferida por la ministra del interior, para los concejos municipales y distritales del país. asunto: recomendación para el uso de medios electrónicos en las sesiones de los concejos municipales y distritales"
11001-03-15-2020-01102-00,Julio Roberto Piza Rodríguez,Ministerio del Interior,Circular externa cir2020-21dmi-1000 del 16 de marzo,"Control inmediato de legalidad de la circular externa cir2020-21dmi-1000 del 16 de marzo de 2020 proferida por la ministra del interior, para los gobernadores, alcaldes, diputados, concejales y juntas administradoras locales. asunto: recomendación para atender el proceso de construcción de los planes de desarrollo territorial."
11001-03-15-2020-01098-00,Martín Bermúdez Muñoz,Servicio nacional de aprendizaje SENA,Resolución 1-0354 del 18 de marzo de 2020,"Control inmediato de legalidad de la resolución 1-0354 del 18 de marzo de 2020 proferida por el director general del servicio nacional de aprendizaje-SENA, ""por la cual se suspenden términos en las actuaciones administrativas y procesales del servicio nacional de aprendizaje - SENA"
11001-03-15-2020-01099-00,Luis Alberto Álvarez Parra,Ministerio de Minas y Energia,Circular 4007 del 25 de marzo de 2020,"Control inmediato de legalidad de la circular 4007 del 25 de marzo de 2020 proferida por el viceministro de energía, para los actores usuarios de la cadena logística y productiva del sector de energía, autoridades territoriales civiles, administrativas, de policía, y ciudadanía en general. asunto: consideraciones respecto de la aplicación del decreto 457 del 22 de marzo de 2020, en relación con las medidas preventivas de mitigación"
11001-03-15-2020-01100-00,Julio Roberto Piza Rodríguez (E),Ministerio del Interior,Circular externa cir2020-24dmi-100 del 17 de marzo de 2020,"Control inmediato de legalidad de la circular externa cir2020-24dmi-100 del 17 de marzo de 2020 proferida por la ministra del interior, para las entidades publicas del orden nacional y territorial y comunidades indígenas, rom, negras, afrocolombianas, raizales y palenqueras. asunto: suspensión temporal de actividades en campo y de consulta previa de medidas legislativas y administrativas"
11001-03-15-000-2020-01119-00,Luis Alberto Álvarez Parra,Servicio Nacional de Aprendizaje SENA,Resolución 1-0370 del 24 de marzo de 2020,"control inmediato de legalidad de la resolución 1-0370 del 24 de marzo de 2020 proferida por la jefe de la oficina de control interno disciplinario del servicio nacional de aprendizaje-sena, por el cual se suspenden términos procesales en las actuaciones disciplinarias de manera transitoria, como consecuencia de la situación epidemiológica causada por el virus covid-19"
11001-03-15-000-2020-01120-00,Guillermo Sánchez Luque,Servicio Nacional de Aprendizaje SENA,Circular 1-2020-000055 del 25 de marzo de 2020,"Control inmediato de legalidad de la circular 1-2020-000055 del 25 de marzo de 2020 proferida por la secretaria general del servicio nacional de aprendizaje-sena, para los servidores públicos, contratistas y aprendices del sena. asunto: medidas para el funcionamiento del sena en el aislamiento preventivo obligatorio decretado por el gobierno nacional"
11001-03-15-000-2020-01121-00,Roberto Augusto Serrato Valdés,Servicio Nacional de Aprendizaje SENA,Circular 1-2020-000052 del 17 de marzo de 2020,"Control inmediato de legalidad de la circular 1-2020-000052 del 17 de marzo de 2020 proferida por el director del sistema de formación para el trabajo del servicio nacional de aprendizaje-sena, para los directores regionales, subdirectores de centro y coordinadores de formación profesional. asunto: recomendaciones para el desarrollo del proceso de evaluación y certificación de competencias laborales ante la situación epidemiológica causada por el coronavirus"
11001-03-15-000-2020-01122-00,Oswaldo Giraldo López,Servicio Nacional de Aprendizaje SENA,Circular 1-2020-000050 del 16 de marzo de 2020,"Control inmediato de legalidad de la circular 1-2020-000050 del 16 de marzo de 2020 proferida por la secretaria general del servicio nacional de aprendizaje-sena, para los servidores públicos, contratistas y aprendices del sena. asunto: medidas para la contención del covid19. alcance a circular no. 01-3-2020-00049 del 11 de marzo de 2020"
11001-03-15-000-2020-01123-00,Rocío Araújo Oñate,Servicio Nacional de Aprendizaje SENA,Circular 1-2020-000049 del 11 de marzo de 2020,"Control inmediato de legalidad de la circular 1-2020-000049 del 11 de marzo de 2020 proferida por la secretaria general del servicio nacional de aprendizaje-sena, para los funcionarios, contratistas y aprendices del sena. asunto: prevención, manejo, atención y control de covid-19."
11001-03-15-000-2020-01124-00,Julio Roberto Piza Rodríguez (E),Servicio Nacional de Aprendizaje SENA,Circular 1-2020-000047 del 10 de marzo de 2020,"Control inmediato de legalidad de la circular 1-2020-000047 del 10 de marzo de 2020 proferida por la secretaria general del servicio nacional de aprendizaje-sena, para los directores regionales, coordinadores de grupo de apoyo administrativo mixto, coordinadores de grupo del servicio medico asistencial, personal administrativo asistencial sma. asunto: directrices para detención temprana y atención de casos de enfermedad por covid19"
11001-03-15-000-2020-01125-00,Marta Nubia Velásquez Rico,Ministerio del Interior,Circular 1-2020-26-DMI-1000 del 19 de marzo de 2020,"control inmediato de legalidad de la circular externa cir2020-26-dmi-1000 del 19 de marzo de 2020 proferida por la ministra del interior, para los gobernadores, alcaldes, diputados, concejales y juntas administradoras locales. asunto: aclaración de la circular cir2020-21-dmi-1000 sobre medidas para atender el proceso de construcción de planes de desarrollo departamental, distrital y municipal"
11001-03-15-000-2020-01126-00,Nubia Margoth Peña Garzón,Unidad de Restitución de Tierras,Resolución 0307 del 27 de marzo de 2020,"Control inmediato de legalidad de la resolución 0307 del 27 de marzo de 2020 proferida por la unidad de restitución de tierras, ""por medio de la cual se suspenden términos de los procedimientos administrativos de inscripción en el registro de tierras despojadas y abandonadas forzosamente, de que trata la ley 1448 de 2011"
11001-03-15-000-2020-01127-00,Carlos Enrique Moreno Rubio,Servicio Geológico  Colombiano,Resolución 123 del 18 de marzo de 2020,"Control inmediato de legalidad de la resolución 123 del 18 de marzo de 2020 proferida por el servicio geológico colombiano, ""por la cual se suspenden los términos procesales dentro de las actuaciones administrativas, procesos de incumplimiento y procesos disciplinarios adelantados por el servicio geológico colombiano"
11001-03-15-000-2020-01128-00,Ramiro Pazos Guerrero,Servicio Geológico  Colombiano,Circular 007 del 16 de marzo de 2020,"Control inmediato de legalidad de la circular 007 del 16 de marzo de 2020 suscrita por el director general del servicio geológico colombiano, para los directores técnicos, jefes de oficina, coordinadores, funcionarios y contratistas. asunto: medidas adicionales a las tomadas en la circular 006 de 2020 sobre contención ante el covid-19."
11001-03-15-000-2020-01129-00,María Adriana Marín,Servicio Geológico  Colombiano,Circular 006 del 11 de marzo de 2020,"control inmediato de legalidad de la circular 006 del 11 de marzo de 2020 suscrita por el director general del servicio geológico colombiano, para los directores técnicos, jefes de oficina, coordinadores, funcionarios y contratistas. asunto: acciones de contención ante el covid19 y la prevención de enfermedades respiratorias en el servicio geológico colombiano"
11001-03-15-000-2020-01131-00,Martín Bermúdez Muñoz,Unidad Nacional para la Gestión de Riesgos y Desastres,Circular 016 del 24 de marzo de 2020,"Control inmediato de legalidad de la circular 016 del 24 de marzo de 2020 suscrita por la secretaria general de la unidad nacional para la gestión del riesgo de desastres, para los funcionarios y colaboradores ungrd/fngrd. asunto: aislamiento preventivo obligatorio - decreto presidencial 457 de 2020"
11001-03-15-000-2020-01132-00,Rafael Francisco Suárez Vargas,Unidad Nacional para la Gestión de Riesgos y Desastres,Circular 007 del 3 de marzo de 2020,"Control inmediato de legalidad de la circular 007 del 3 de marzo de 2020 suscrita por la dirección general de la unidad nacional para la gestión del riesgo de desastres, para los funcionarios y colaboradores ungrd/fngrd. asunto: recomendaciones prevención covid-19"
1100-103-15-000-2020-01133-00,Marta Nubia Velásquez Rico (E2),Unidad Nacional para la Gestión de Riesgos y Desastres,Circular 009 del 12 de marzo de 2020,"Control inmediato de legalidad de la circular 009 del 12 de marzo de 2020 suscrita por la dirección general de la unidad nacional para la gestión del riesgo de desastres, para los funcionarios y colaboradores ungrd/fngrd. asunto: actualización de las recomendaciones de prevención del covid-19"
11001-03-15-000-2020-01134-00,Stella Jeannette Carvajal Basto,Dirección General de la Unidad Nacional para la Gestión del Riesgo de Desatres - UNGRD,Circular 011 del 16 de marzo de 2020,"Control inmediato de legalidad circular 011 del 16 de marzo de 2020 suscrita por la direcciòn general de la unidad nacional para la gestiòn del riesgo de desastres, para los funcionarios y colaboradores UNGRD/FNGRD.asunto:acciones prevenciòn covid-19."
11001-03-15-000-2020-01135-00,Jaime Enrique Rodríguez Navas,Dirección General de la Unidad Nacional para la Gestión del Riesgo de Desatres - UNGRD,Resoluciòn 0217 del 16  de marzo del 2020,"Control inmediato de legalidad resoluciòn 0217 del 16 de marzo del 2020 suscrita por la direcciòn general de unidad nacional para la gestiòn del riesgo de desastres, ""por la cual se establecen los lineamientos para trabajo en casa temporal"""
11001-03-15-000-2020-01136-00,Nicolás Yepes Corrales,Dirección General de la Unidad Nacional para la Gestión del Riesgo de Desatres - UNGRD,Circular 014 del 18 de marzo de 2020,"Control inmediato de legalidad circular 014 del 18 de marzo de 2020 suscrita por la direcciòn general de la unidad nacional para la gestiòn del riesgo de desastres, para funcionarios y colaboradores UNGRD/FNGRD.asunto: ampliaciòn medidas de prevenciòn y conteciòn covid-19."
11001-03-15-000-2020-01137-00,Alberto Montaña Plata,Unidad Nacional para la Gestión del Riesgo de Desastres UNGRD,Circular 015 del 19 de marzo de 2020,"Control inmediato de legalidad de la circular 015 del 19 de marzo de 2020 suscrita por la secretaria general de la unidad nacional para la gestión del riesgo de desastres, para los funcionarios y colaboradores ungrd/fngrd. asunto: operatividad unidad nacional para la gestión del riesgo de desastres en el marco del decreto 090 de 19 de marzo de 2020"
11001-03-15-000-2020-01138-00,Hernando Sánchez Sánchez,Unidad Nacional para la Gestión del Riesgo de Desastres UNGRD,Circular 017 del 24 de marzo de 2020,"Control inmediato de legalidad de la circular 017 del 24 de marzo de 2020 suscrita por la dirección general de la unidad nacional para la gestión del riesgo de desastres, para los funcionarios y colaboradores ungrd/fngrd. asunto: funcionamiento ungrd - aislamiento preventivo obligatorio"
11001-03-15-000-2020-01139-00,William Hernández Gómez,Corporación Autónoma Regional del Alto Magdalena - CAM,Resolución 604 del 16 de marzo de 2020,"Control inmediato de legalidad de la resolución 604 del 16 de marzo de 2020 proferida por Corporación autónoma regional del alto magdalena-cam, ""por la cual se adoptan medidas transitorias por motivos de salubridad pública."
11001-03-15-000-2020-01140-00,Lucy Jeannette Bermúdez Bermúdez,Corporación Autónoma Regional del Alto Magdalena- CAM  y Otros,Resolución 647 del 19 de marzo de 2020,"Control inmediato de legalidad de la resolución 647 del 19 de marzo de 2020 proferida por corporación autónoma regional del alto magdalena-cam, ""por la cual se prorroga la medida de suspensión de términos adoptada mediante la resolución no.604 del 16 de marzo de 2020 y se adoptan otras medidas por motivos de salubridad publica"
11001-03-15-000-2020-01141-00,Milton Chaves García,Agencia para la Reincorporación y Normalización,Resolución 0833 del 24 de marzo de 2020,"Control inmediato de legalidad de la resolución 0833 del 24 de marzo de 2020 proferida por la dirección general de la agencia para la reincorporación y la normalización, ""por medio de la cual se adoptan medidas para garantizar la continuidad de labores durante el periodo de aislamiento preventivo obligatorio decretado por gobierno nacional"
11001-03-15-000-2020-01142-00,Carmelo Perdomo Cuéter,Autoridad Nacional de Licencias Ambientales - ANLA,Resolución 00574 del 31 de marzo de 2020,"Control inmediato de legalidad de la resolución 00574 del 31 de marzo de 2020 proferida por la autoridad de licencias ambientales - ANLA, ""por la cual modifican las resoluciones no. 00461 y 00470 del 18 y 19 de marzo de 2020""."
11001-03-15-000-2020-01143-00,Sandra Lisset Ibarra Vélez,Agencia Nacional de Minería,Resolución 116 del 30 de marzo de 2020,"Control inmediato de legalidad de la resolución 116 del 30 de marzo de 2020 proferida por la agencia nacional de minería, ""por la cual se modifica la resolución 096 del 17 de marzo de 2020, se suspende la atención presencial al público, los términos de algunas actuaciones administrativas de la ANM y se toman otras determinaciones”."
11001-03-15-000-2020-01144-00,César Palomino Cortés,Agencia Nacional de Seguridad Vial,Resoluciòn 108 del 26 de marzo de 2020,"Control inmediato resoluciòn 108 del 26 de marzo de 2020 proferida por la agencia nacional de segurida vial. ""por medio del cual suspenden terminos en las actuaciones disciplinarias de la agencia nacional de segurida vial como consecuencia de la emergencia sanitariapor el covid-19."
11001-03-15-000-2020-01145-00,Gabriel Valbuena Hernández,Banco Agrario de Colombia S.A.,Resoluciòn 004 del 26 de marzo de 2020,"Control inmediato de legalidad resoluciòn 004 del 26 de marzo de 2020 proferida por el jefe de la oficina de control del banco agrario de colombia S.A., ""por el cual se suspenden terminos en los procesos disciplinarios que adelanta la oficina de control disciplinario interno del banco agrario de colombia"""
11001-03-15-000-202-001146-00,Luis Alberto Álvarez Parra,Corporación Autónoma Regional de las Cuencas de los Ríos Negro y Nare - CORNARE,Resolución 112-1130-2020 del 1 de abril de 2020,"Control inmediato de legalidad de la resolución 112-1130-2020 del 1 de abril de 2020 proferida por la corporación autónoma regional de las cuencas de los ríos Negro y Nare - CORNARE, ""por medio de la cual se aclara, complementa y se establece le alcance de la resolución no.112-0984 de marzo 24 de 2020"
11001-03-15-000-202-001147-00,Carlos Enrique Moreno Rubio,Corporación Autónoma Regional del Centro de Antioquia- CORANTIOQUIA,Resolución 040RES2004-1668 del 2 de abril de 2020,"Control inmediato de legalidad de la resolución 040RES2004-1668 del 2 de abril de 2020 proferida por la Corporación Autónoma Regional del centro de Antioquia, CORANTIOQUIA, ""por medio de la cual se suspende la prestación del servicio y los términos en los procedimientos administrativos y contractuales que se surten en la corporación autónoma regional del centro Antioquia, CORANTIOQUIA"
11001-03-15-000-202-001148-00,Hernando Sánchez Sánchez,Corporación Autónoma Regional Del centro de Antioquia- CORANTIOQUIA,Memorando  180-MEM2004-3088 del 1 de abril de 2020,"Control inmediato de legalidad del memorando  180-MEM2004-3088 del 1 de abril de 2020 proferida por la secretaria general de la Corporación Autónoma Regional Del centro De Antioquia, CORANTIOQUIA, para todo el personal. Asunto: directriz aplicación decreto 491 del 28 de marzo de 2020"
11001-03-15-000-2020-01149-00,Julio Roberto Piza Rodríguez (E),Corporación Autónoma Regional del Sur De Bolívar - CARCSB,Resolución 129 del 16 de marzo de 2020,"Control inmediato de legalidad de la resolución 129 del 16 de marzo de 2020, proferida por la Corporación Autónoma Regional del Sur de Bolívar, ""por medio de la cual se establecen medidas con carácter temporal para atender la contingencia generada por el Covid-19, dentro de la Corporación Autónoma Regional del Sur de Bolívar. CSB""."
11001-03-15-000-2020-01150-00,Nubia Margoth Peña Garzón,Corporación Autónoma Regional del Sur De Bolívar - CARCSB,Resolución 140 del 25 de marzo de 2020,"Control inmediato de legalidad de la resolución 140 del 25 de marzo de 2020, proferida por la Corporación Autónoma Regional del Sur de Bolívar, ""por medio de la cual se adoptan unas medidas transitorias por causa del Covid-19, en la Corporación Autónoma Regional del Sur de Bolívar. CSB - y se imparten otras disposiciones""."
11001-03-15-000-2020-01151-00,MIlton Chaves García,Corporación Autónoma Regional para la Defensa de la Meseta de Bucaramanga,Resoluciòn 0213 del 31 de marzo de 2020,"Control inmediato de legalidad resoluciòn 0213 del 31 de marzo de 2020 proferida por la corporaciòn autònoma regional para la defensa de la meseta de bucaramanga, ""por el cual se amplian y actualizan las medidas transitorias adoptadas en la resoluciòn No.200 del 16 de marzo de 2020 y se toman otras disposiciones adicionales."
11001-03-15-000-2020-01152-00,Martín Bermúdez Muñoz,Corporación Autónoma Regional para la Defensa de la Meseta de Bucaramanga,Resoluciòn 0200 del 16  de marzo del 2020,"Control inmediato de legalidad resoluciòn 0200 del 16 de marzo del 2020 proferida por la corporaciòn autònoma regional para la defensa de la meseta de bucaramanga, ""por medio de la cual se establecen medidas con carácter temporal para atender la contigencia generada por el covid-19 en la corporaciòn autònoma regional para la defensa de la meseta de bucaramanga- CDMB""."
11001-03-15-000-2020-01153-00,Roberto Augusto Serrato Valdés,Corporación Autónoma Regional de Caldas - CORPOCALDAS,Resolución 0544 del 25 de marzo de 2020,"Control inmediato de legalidad resoluciòn 0544 del 25 de marzo de 2020 proferida por la corporaciòn autònoma regional de caldas, ""por medio de la cual se conceden oficiosamente vacaciones a un personal de la corporaciòn""."
11001-03-15-000-2020-01154-00,Nicolás Yepes Corrales,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 0707 del  01 de abril de 2020,"Control inmediato de legalidad resoluciòn 0707 del 01 de abril de 2020 proferida por la corporaciòn autònoma de boyaca, ""por la cual se modifica la resoluciòn No 692 del 20 de marzo de 2020,por la cual se suspenden terminos en las actuaciones administrativas de la corporaciòn autònoma regional de boyaca-CORPOBOYACA""."
11001-03-15-000-2020-01155-00,Julio Roberto Piza Rodríguez,Comisión de Regulación de Comunicaciones CRC,Resoluciòn 5955 del 03 de abril de 2020,"Control inmediato de legalidad resoluciòn 5955 del 03 de abril de 2020 proferida por la comisiòn de regulaciòn de comunicaciones, ""por la cual se suspenden, hasta el 31 de mayo de 2020, alginas disposiciones relacionadas con la prestaciòn de servicios postales contenidas en la resoluciòn CRC 5050 de 2016 y la resoluciòn MINTIC 1552 de 2014 y se dictan otras disposiciones""."
11001-03-15-000-2020-01156-00,Marta Nubia Velásquez Rico (E),Comisión de Regulación de Comunicaciones CRC,Resolución 5956 del 3 de abril  de 2020,"Control inmediato de legalidad de la resolución 5956 del 3 de abril de 2020, proferida por la comisión de regulación de comunicaciones, ""por la cual se suspenden, hasta el 31 de mayo de 2020, algunas disposiciones contenidas en la resolución crc 5050 de 2016 en relación con la prestación del servicio de telecomunicaciones y se dictan otras disposiciones"
11001-03-15-000-2020-01157-00,Guillermo Sánchez Luque,Comisión de Regulación de Comunicaciones CRC,Resolución 5957 del 3 de abril  de 2020,"Control inmediato de legalidad de la resolución 5957 del 3 de abril de 2020, proferida por la comisión de regulación de comunicaciones, ""por la cual se decreta la suspensión de términos en algunas actuaciones administrativas de carácter particular tramitadas ante la sesión de comisión de comunicaciones de la comunicación de regulación de comunicaciones y se realiza una delegación"
11001-03-15-000-2020-01158-00,William Hernández Gómez,Comisión de Regulación de Comunicaciones CRC,Resolución 5958 del 3 de abril de 2020,"Control inmediato de legalidad de la resolución 5958 del 3 de abril de 2020, proferida por la comisión de regulación de comunicaciones, ""por la cual se decreta la suspensión de términos en las actuaciones administrativas sancionatorias de carácter particular tramitadas ante la sesión de comisión de contenidos audiovisuales de la comisión de regulación de comunicaciones"
11001-03-15-000-2020-01159-00,Carmelo Perdomo Cuéter,Comisión de Regulación de Comunicaciones CRC,Resolución 5959 del 3 de abril de 2020,"Resolución 5959 del 3 de abril de 2020, proferida por la Comisión de Regulación de Comunicaciones, ""por la cual se suspenden durante el estado de emergencia económico, social y ecológico, lo dispuesto en el parágrafo 3 del artículo 36 del acuerdo CNTV 02 de 2011 que establecen las condiciones de intensidad y duración del espacio del defensor del televidente""."
11001-03-15-000-2020-01160-00,Rocío Araújo Oñate,Comisión de Regulación de Comunicaciones CRC,Resolución No. 5960 del 3 de abril de 2020,"Resolución 5960 del 3 de abril de 2020, proferida por la Comisión de Regulación de Comunicaciones, ""por la cual se adoptan unas medidas regulatorias para garantizar a la población sorda o hipoacusica la comunicación oportuna y continua a través de televisión abierta, durante el estado de emergencia económico, social y ecológico"""
11001-03-15-000-2020-01161-00,Oswaldo Giraldo López,Departamento Administrativo para la Prosperidad Social,Resolución 00639 del 30 de marzo de 2020,"Control inmediato de legalidad de la resolución 00639 del 30 de marzo de 2020, proferida por el Departamento Administrativo para la Prosperidad Social, ""por medio de la cual se modifica la resolución 607 del 24 de marzo de 2020 por la cual se adoptan medidas transitorias en contratos y convenios celebrados por el departamento Administrativo para la Prosperidad Social - fondo de inversiones para la Paz""."
11001-03-15-000-2020-01163-00,Stella Jeannette Carvajal Basto,Administradora Colombiana de Pensiones - COLPENSIONES,Resolución 005 del 19 de marzo de 2020,"Control inmediato de legalidad de la resolución 005 del 19 de marzo de 2020, proferida por la Administradora Colombiana de Pensiones - COLPENSIONES, ""por el cual se suspenden términos procesales en las actuaciones administrativas y disciplinarias en la Administradora Colombiana de Pensiones - COLPENSIONES""."
11001-03-15-000-2020-01166-00,Lucy Jeannette Bermúdez Bermúdez,Dirección de Impuestos y Aduanas Nacionales - DIAN,Resolución 002013 del 18 de marzo de 2020,"Control inmediato de legalidad de la resolución 002013 del 18 de marzo de 2020 proferida por el Director General de Impuestos y Aduanas Nacionales, por la cual se adoptan medidas de contención y prevención del covid19 al interior de la entidad"
11001-03-15-000-2020-01167-00,Jaime Enrique Rodríguez Navas,Dirección de Impuestos y Aduanas Nacionales - DIAN,Resolución 002158 del 24 de marzo de 2020,"Resolución 002158 del 24 de marzo de 2020 proferida por el director general de impuestos y aduanas nacionales, por la cual se adoptan medidas de contención y prevención del covid-19 al interior de la entidad."
11001-03-15-000-2020-01168,Ramiro Pazos Guerrero,Dirección de Impuestos y Aduanas Nacionales - DIAN,Resolución 0030 del 29 de marzo de 2020,"Resolución 0030 del 29 de marzo de 2020 proferida por el director general de impuestos y aduanas, por la cual se adoptan medidas de urgencia para garantizar la atención y prestación de los servicios por parte de la dirección  de impuestos y aduanas nacionales-DIAN, en el marco del estado de emergencia económica, social y económica."
11001-03-15-000-2020-01169-00,César Palomino Cortés,Dirección de Impuestos y Aduanas Nacionales - DIAN,Resolución 000027 del 25  de marzo del 2020,"Resolución 000027 del 25 de marzo de 2020 proferida por el director general de impuestos y aduanas, por la cual se modifican los plazos definidos en el articulo 45 de la resolución 011004 del 29 de octubre de 2018, modificado y adicionado por la resolución 00008 del 31 de enero de 2020."
11001-03-15-000-2020-01170-00,María Adriana Marín,Dirección de Impuestos y Aduanas Nacionales - DIAN,Resolución 00022 del 18 de marzo de 2020,"Resolución 00022 del 18 de marzo de 2020 proferida por el director general de impuestos y aduanas nacionales, ""por la cual se suspenden términos en los procesos y actuaciones administrativos en materia tributaria, aduanera y cambiaria, en la dirección de impuestos y aduanas nacionales-DIAN."
11001-03-15-000-2020-01172-00,Marta Nubia Velásquez Rico,Departamento Administrativo Nacional de Estadística - DANE,Resolución 0475 del 31 de marzo  de 2020,"control inmediato de legalidad de la resolución 0475 del 31 de marzo de 2020 proferida por el director del departamento administrativo nacional de estadística, ""por medio de la cual se amplían términos de suspensión de la resolución 438 del 19 de marzo de 2020"
11001-03-15-000-2020-01173-00,Alberto Montaña Plata,Departamento Administrativo Nacional de Estadística - DANE,Resolución 0452 del 26 de marzo  de 2020,"Control inmediato de legalidad de la resolución 0452 del 26 de marzo de 2020 proferida por la secretaria general del departamento administrativo nacional de estadística, ""por medio del cual se declara urgencia manifiesta para celebrar contratación de bienes y servicios"
11001-03-15-000-2020-01174-00,Rafael Francisco Suárez Vargas,Departamento Administrativo Nacional de Estadística - DANE,Resolución 060 del 27 de marzo  de 2020,"Control inmediato de legalidad de la resolución 060 del 27 de marzo de 2020 proferida por la directora territorial suroccidental del departamento administrativo nacional de estadística, ""por medio de la cual se declara urgencia manifiesta para celebrar la contratación de bienes y servicios necesario, para prevenir, contener"
11001-03-15-000-2020-01175-00,Gabriel Valbuena Hernández,Departamento Administrativo Nacional de Estadística Fondo Rotativo el DANE FONDANE,Resolución 040 del 27 de marzo  de 2020,"Control inmediato de legalidad de la resolución 040 del 27 de marzo de 2020 proferida por la directora territorial del departamento administrativo nacional de estadística, ""por medio de la cual se declara urgencia manifiesta para celebrar la contratación de bienes y servicios necesario, para prevenir, contener"
11001-03-15-000-2020-01176-00,Gabriel Valbuena Hernández,Departamento Administrativo Nacional de Estadística Fondo Rotativo el DANE FONDANE,Resolución 038 del 27 de marzo  de 2020,"Control inmediato de legalidad de la resolución 038 del 27 de marzo de 2020 proferida por la directora territorial norte del departamento administrativo nacional de estadística, ""por medio de la cual se declara urgencia manifiesta para celebrar la contratación de bienes y servicios necesario, para prevenir, contener"
11001-03-15-000-2020-01177-00,Roberto Augusto Serrato Valdés,Departamento Administrativo Nacional de Estadística Fondo Rotativo el DANE FONDANE,Resolución 006 del 27 de marzo de 2020,"Control inmediato de legalidad de la resolución 006 del 27 de marzo de 2020 proferida por la Directora Territorial Noroccidental del Departamento Administrativo Nacional de Estadística, ""por medio de la cual se declara urgencia manifiesta para celebrar la contratación de bienes y servicios necesario, para prevenir, contener"
11001-03-15-000-2020-01162-00,Sandra Lisset Ibarra Vélez,Comisión de Regulación de Agua Potable y Saneamiento Básico - CRA,Resolución UAE-CRA 178 del 1 de abril de 2020,"Control inmediato de legalidad de la resolución UAE-CRA 178 del 1 de abril de 2020, proferida por el director ejecutivo de la Comisión De Regulación De Agua Potable Y Saneamiento Básico, ""por la cual se adoptan medidas para garantizar la atención y la prestación de los servicios por parte de la unidad administrativa Comisión De Regulación De Agua Potable Y Saneamiento Básico -CRA, en el marco de los dispuesto en el decreto legislativo 491 de 2020"""
